text,label,label_name
"there are a couple payments with my card shown in the app that i really make myself. what's going on with this, maybe someone has access to my card?!",8,card_payment_not_recognised
i was overcharged an additional pound.,15,extra_charge_on_statement
what is this witdrawal,11,cash_withdrawal_not_recognised
the exchange rate for my withdrawal was wrong.,29,wrong_exchange_rate_for_cash_withdrawal
"the atm will not let me get cash, why?",13,declined_cash_withdrawal
why hasn't my card payment cleared yet?,16,pending_card_payment
i have been charged a fee for getting cash,10,cash_withdrawal_charge
is there a reason my refund isn't showing on my statement?,20,Refund_not_showing_up
i made a payment but the app cancelled it.,22,reverted_card_payment?
my account seems a bit off and getting weird charges.,25,transaction_charged_twice
i tried to use my card to withdrawal money from the atm in notting hill but it didn't work. this is the first time i've tried using it. is my card working?,13,declined_cash_withdrawal
i made a cash withdrawl and there is a charge. what is this?,10,cash_withdrawal_charge
why is my payment in pending status?,16,pending_card_payment
i have an incorrect charge and would like a refund.,21,request_refund
"i do not like this, i made a simple transfer but i have an additional charge for doing so.",26,transfer_fee_charged
why hasn't my cash arrived from a deposited check?,2,balance_not_updated_after_cheque_or_cash_deposit
"i paid with my card and got charged an extra fee, what's up with that?",7,card_payment_fee_charged
"my card payment is just showing up as pending and it has been a while , what's going on with that, it should be going through at some point?",16,pending_card_payment
i transferred some cash and it has not arrived yet.,27,transfer_not_received_by_recipient
"my transfer is pending, why?",19,pending_transfer
"hi, i draw out some money from the atm today. the atm has given me wrong amount and the application is displaying more amount than i withdraw.",28,wrong_amount_of_cash_received
"i thought you offer crypto top up but it doesn't seem to be right ? money just disappeared from my account, how it would work ?",24,top_up_reverted
how to track the card you sent,5,card_arrival
i was charged twice for the same thing.,25,transaction_charged_twice
"my new card is here, what's the process for activating it?",0,activate_my_card
"why are you charging for cash withdrawals? i went to withdraw some money earlier today after getting my groceries, and it appears there is a fee that wasn't there before",10,cash_withdrawal_charge
can you please explain why the exchange rate for the item i bought is wrong?,9,card_payment_wrong_exchange_rate
"hello, i made a payment with my card and it's not working. it's been a while and still says its pending. can you tell when this will go through?",16,pending_card_payment
do you also have this extra fee on your statement?,15,extra_charge_on_statement
why was a payment cancelled on my account?,22,reverted_card_payment?
where has my transferred money gone?,27,transfer_not_received_by_recipient
what is the process for activating my card and using it?,0,activate_my_card
"i got double charged from something, what can i do?",25,transaction_charged_twice
is there a problem that makes my payments show pending?,16,pending_card_payment
i don't understand why i'm being charged for using my card.,7,card_payment_fee_charged
looks like my top-up has been cancelled,23,top_up_failed
why wouldn't my withdrawal go through?,13,declined_cash_withdrawal
i have been charged a fee that i didn't know about. why have you charged me extra for card payments?,7,card_payment_fee_charged
i think somebody made an unauthorized copy of my card. my account has a cash withdrawal for 500£ that i did not make. please help.,11,cash_withdrawal_not_recognised
is the 1 pound charge going to be reimbursed on my card?,15,extra_charge_on_statement
i cannot see a refund in my account,20,Refund_not_showing_up
"could you refund my transaction, i paid it into the wrong account. i need to be able to pay it into the right account by tomorrow.",4,cancel_transfer
"there is an extra charge on my account i didn't authorise, it's just £1, what is it?",15,extra_charge_on_statement
using international atms messes up the exchange rate.,29,wrong_exchange_rate_for_cash_withdrawal
my card isn't here yet.,5,card_arrival
why was i charged when taking out money?,10,cash_withdrawal_charge
"i'm having an issue with transaction. i topped up my account and saw it went through, but that was a few days ago and the money isn't in my account any more. what's up with that?",24,top_up_reverted
hello! i randomly got charged an extra fee today as i was shopping online and i have no idea why! are there extra fees for card payments? or am i missing something here?,7,card_payment_fee_charged
there is a charge for an additional pound.,15,extra_charge_on_statement
i wanted to know about a pending dollar that is on my statement.,15,extra_charge_on_statement
how long does it take for a money transfer to show up?,19,pending_transfer
"i just got my new card, how do i activate it?",0,activate_my_card
"i transferred money to another country several days ago, but my transaction is still pending. i have checked that the accounts are keyed in correctly. what sees to be the problem?",19,pending_transfer
how do i see my card in the app?,6,card_linking
"i made a mistake on the last transfer i made, who must i speak with to cancel?",4,cancel_transfer
please can you block the transaction i just sent from my account? it was a payment but i accidently typed in the wrong details and think it might have gone to the wrong place.,4,cancel_transfer
i made a cash withdrawal earlier and it's showing as pending. what does that mean?,17,pending_cash_withdrawal
can i receive a refund for an item i purchased?,21,request_refund
"a 500 pound cash withdrawal was just made from my account, but i didn't make it. i am pretty sure my card has been compromised - can you help me?",11,cash_withdrawal_not_recognised
i checked my account and see that funds were deducted from a seller i didn't approve of. can you help me understand?,14,direct_debit_payment_not_recognised
foreign currency rates were put in wrong at an atm i used.,29,wrong_exchange_rate_for_cash_withdrawal
"help! i tried to get cash and it gave me some, but not the right amount!",28,wrong_amount_of_cash_received
"please help me in this, as i was unable to make any payment by my new card, it was getting declined repeatedly. i am not very happy with this incident.",12,declined_card_payment
there was an unexpected fee for my cash withdrawal!,10,cash_withdrawal_charge
my card payment had the wrong exchange rate,9,card_payment_wrong_exchange_rate
"could i please cancel my transfer, i paid it into the wrong account. i need to pay it into the right account by tomorrow.",4,cancel_transfer
when will my transfer come through?,1,balance_not_updated_after_bank_transfer
how do i make my card show up in the app?,6,card_linking
my package is taking too long to arrive and i don't want it anymore. can i get a refund?,21,request_refund
the app says i got cash from an atm but i didn't,11,cash_withdrawal_not_recognised
"i've been trying to transfer funds to top-up my card, but the transaction is not going through. is there something i'm doing wrong?",23,top_up_failed
my product hasn't arrived even though i ordered it a while ago. i want a refund!,21,request_refund
i have two of the same charges on my account!,25,transaction_charged_twice
i did not receive my full withdrawal amount,28,wrong_amount_of_cash_received
my refund isn't showing up on my statement.,20,Refund_not_showing_up
explain the extra atm fees.,10,cash_withdrawal_charge
"i noticed a fee, while banking abroad, that seems different than any i have been charged before. what does this fee mean?",26,transfer_fee_charged
"hello, just now i got to know withdrawal of money from of my account. as someone used my card to withdraw amount in any odd remote area. since i have not been in that area, please freeze my card immediately.",11,cash_withdrawal_not_recognised
i would like to cancel a transfer,4,cancel_transfer
it is urgency. please freeze my card now. as someone in some odd remote town has withdrawn some money by using my card. as i did not withdraw any money.,11,cash_withdrawal_not_recognised
what is this extra fee while i was doing a transfer?,26,transfer_fee_charged
why is there an extra €1 fee in my statement?,15,extra_charge_on_statement
it appears my top-ups have been canceled.,24,top_up_reverted
i tried to withdraw 40 pounds but only 20 came out. did you steal my money?,28,wrong_amount_of_cash_received
i see a direct debit payment on my statement that wasn't me,14,direct_debit_payment_not_recognised
my order needs to be canceled.,21,request_refund
"i put money in my account a week ago but its still not there, what is happening?",2,balance_not_updated_after_cheque_or_cash_deposit
what is the charge for paying with my card?,7,card_payment_fee_charged
"my card payment has been declined, why?",12,declined_card_payment
i know i'm getting a new card but would like know when i can expect to receive it.,5,card_arrival
explain why i can't do a transfer to an account.,3,beneficiary_not_allowed
do eu transfers happen quickly? i purchased something a few days ago and the seller hasn't received my money yet.,19,pending_transfer
if i find a card i lost do i need to dispose of it? or can i re-active the card and continue to use it?,6,card_linking
i do not recognize the card payment.,8,card_payment_not_recognised
does the package with my card have tracking?,5,card_arrival
i want to know why my top-up was reverted,24,top_up_reverted
can i check my recent refund in my statement?,20,Refund_not_showing_up
the refund doesn't show in my account,20,Refund_not_showing_up
"hey, i got charged extra for some reason when i purchased an app. is this a hidden fee or something? i don't think it's very cool.",15,extra_charge_on_statement
i have an unauthorized direct debit on my account,14,direct_debit_payment_not_recognised
why is the exchange rate different from what i expected?,9,card_payment_wrong_exchange_rate
"i got a card, how do i get it in the app?",6,card_linking
how do i link my card in the app.,6,card_linking
my card still hasn't been delivered,5,card_arrival
i found a transfer fee - is that correct?,26,transfer_fee_charged
"how do i activate my card, so that i can start using it?",0,activate_my_card
i want to be sure that everything is okay here. i just made a transfer from a uk account and it is still not showing up. how long does this typically take?,1,balance_not_updated_after_bank_transfer
my money disappeared! please help??,24,top_up_reverted
why did my card payment get declined?,12,declined_card_payment
after making a payment with my card it doesn't seem to have worked. it's just showing to be pending. when will this actually be going through?,16,pending_card_payment
"i deposited a check yesterday to up my account balance, but that deposit hasn't shown up yet. it's been a day already!",2,balance_not_updated_after_cheque_or_cash_deposit
my card isn't letting me purchase something and i wanted to know why.,3,beneficiary_not_allowed
i submitted a transaction but it was for the incorrect account.,4,cancel_transfer
why is my check still not showing up on my account? it's been a week already,2,balance_not_updated_after_cheque_or_cash_deposit
an incorrect exchange rate was applied to an item i bought.,9,card_payment_wrong_exchange_rate
i tried transferring to an account but it didn't go through. what happened?,3,beneficiary_not_allowed
i found a charge on my debit that i did not make.,14,direct_debit_payment_not_recognised
i need urgent help. i realize i sent my payment to the wrong account number. i made a typo. please cancel the transfer now. there isn't an option from the app.,4,cancel_transfer
the rate applied to my purchase in a foreign currency was wrong.,9,card_payment_wrong_exchange_rate
"my card payment has been declined, do you know why?",12,declined_card_payment
i tried to buy something online but my funds were transferred back to my account. what is happening?,22,reverted_card_payment?
why would the app show a withdrawal that i did not make?,11,cash_withdrawal_not_recognised
have have a small charge on my account from someone i purchased with but i'm not sure what it relates to.,15,extra_charge_on_statement
"someone withdrew money from my account, and it wasn't me.",11,cash_withdrawal_not_recognised
please tell me how the exchange rate is determined. i was expecting more money for the transaction.,29,wrong_exchange_rate_for_cash_withdrawal
i tried to withdraw $100 but only got $20. what happened?,28,wrong_amount_of_cash_received
im going to need to make a transfer from a uk account but i need it to go through asap. is that going to be possible or will it take forever?? im hoping it will be a couple hours and not a couple weeks.,1,balance_not_updated_after_bank_transfer
when will a refund post to my account?,20,Refund_not_showing_up
i am seeing in the app a some cash withdrawal that i did not do,11,cash_withdrawal_not_recognised
"i'm stuck here at your broken atm and i don't know what to do next. asked for 30 pounds, got 10. atm said i got 30. something very wrong here and i want my money now!",28,wrong_amount_of_cash_received
"i want to start using my card, how do i activate it?",0,activate_my_card
i just made a transfer from france 2 days ago. it has not yet reached my bank. is it possible it takes longer because it was an international transfer?,1,balance_not_updated_after_bank_transfer
"when i went to $100, all the machine would give me was $20.",28,wrong_amount_of_cash_received
why did you charge me for taking out cash?,10,cash_withdrawal_charge
how long does it take for pending to go through,19,pending_transfer
was i charged more than i should of been for a currency exchange?,9,card_payment_wrong_exchange_rate
how long will it take for me to get my card?,5,card_arrival
"help, the atm didn't give me all the money i requested",28,wrong_amount_of_cash_received
where can i link a new card?,6,card_linking
i need to do a card activation.,0,activate_my_card
"this past holiday i made a withdraw at the atm machine, and it seems i've been charged too much.",29,wrong_exchange_rate_for_cash_withdrawal
how come i was charged an extra fee when paying with the card?,7,card_payment_fee_charged
i'm confused as to why my top-up did not go through.,23,top_up_failed
my top-up hasn't happened yet.,18,pending_top_up
how do i get my money back for a duplicated charge?,25,transaction_charged_twice
what are these fees i am paying?,7,card_payment_fee_charged
i made a bank transfer but it doesn't seem to have gone through?,1,balance_not_updated_after_bank_transfer
i got double charged!,25,transaction_charged_twice
why is the exchange rate different on my recent purchase?,9,card_payment_wrong_exchange_rate
my payment has been cancelled,22,reverted_card_payment?
there is an extra 1£ charge on my app. why did it charge me extra?,15,extra_charge_on_statement
"i withdrew money and got a fee, please explain",10,cash_withdrawal_charge
seems like my top-up has been cancelled,24,top_up_reverted
how long will my transaction take?,27,transfer_not_received_by_recipient
i have transferred some money but the balance hasn't changed,1,balance_not_updated_after_bank_transfer
i had a payment reverted and would like to figure out why.,22,reverted_card_payment?
"i see i was charged extra when i used the card. i am not sure why, please tell me why.",7,card_payment_fee_charged
"i guess exchange rate for my payment was not correct, as i charged extra on the last saturday.",9,card_payment_wrong_exchange_rate
i am still waiting for a transfer to show,19,pending_transfer
i payed with the card and there was an extra fee?,7,card_payment_fee_charged
explain why my top up has been reverted please.,24,top_up_reverted
i think the rate that was applied to my purchase using foreign currency is wrong. help!,9,card_payment_wrong_exchange_rate
"when i use my card, it says decline?",12,declined_card_payment
a seller is stating that they haven't received money yet when the money has already deducted from my account.,22,reverted_card_payment?
is it possible to refund an item?,21,request_refund
why are my withdrawals suddenly being declined?,13,declined_cash_withdrawal
it's been a week since i ordered my card and it's not here. please help?,5,card_arrival
why has a cash withdrawal charged me?,10,cash_withdrawal_charge
i do not know why i was charged for the $1 transaction.,15,extra_charge_on_statement
what steps do i have to take to activate my card?,0,activate_my_card
i made an atm withdrawal over the holiday and then later realized i was charged an exorbitant fee! i never would've made this withdrawal if i'd known i'd be charged so much.,29,wrong_exchange_rate_for_cash_withdrawal
i have been charged for one thing two times.,25,transaction_charged_twice
"when i withdrew my money, why was there an extra charge?",10,cash_withdrawal_charge
how come there is an extra fee on my statement?,15,extra_charge_on_statement
i sent a cheque a few days ago and i noticed that no money has been put on my account. can you please tell me the situation of my account?,2,balance_not_updated_after_cheque_or_cash_deposit
i just got my card. it's not linked yet--how do i do that?,6,card_linking
my top-up was cancelled and i am writing to ask if i need to complete the 3d secure authentication section before i submit it.,24,top_up_reverted
there is a direct debit transaction on my statement that i think is not mine. how do i remove?,14,direct_debit_payment_not_recognised
seems like my top up has been cancelled,24,top_up_reverted
i wanted to take out $100 but i only got $20.,28,wrong_amount_of_cash_received
it is common for an international transfer to take 2 days or longer? i made a transfer from france 2 days ago and i have not seen it yet.,1,balance_not_updated_after_bank_transfer
why is the check i deposited this morning not showing up?,2,balance_not_updated_after_cheque_or_cash_deposit
i received duplicate charges.,25,transaction_charged_twice
what should i do if i see an unauthorized withdrawal on my statement?,11,cash_withdrawal_not_recognised
why did i get charged more for using my card?,7,card_payment_fee_charged
there is a direct debit payment that i did not make.,14,direct_debit_payment_not_recognised
i got less cash than what i specified for through the atm.,28,wrong_amount_of_cash_received
i would like to have assistance with activating my card.,0,activate_my_card
